	name	R	A	S
65	LSMA 2	-32.9655172413793	5.310344827586221	-14.862068965517238
66	LSMA 3	-31.409090909090907	6.2727272727272805	-11.090909090909093
67	LSMA 4	-31.05000000000001	6.5	-7.599999999999994
68	LSMA 5	-31.099999999999994	7.400000000000006	-4.800000000000011
69	LSMA 6	-30.22727272727272	7.4090909090909065	-2.863636363636374
70	LSMA 7	-30.611111111111114	8.722222222222229	1.7777777777777715
71	LSMA 8	-29.150000000000006	9.449999999999989	5.799999999999997
72	LSMA 9	-20.5	16.333333333333343	36.16666666666667
73	LSMA 10	-20.181818181818187	16.666666666666657	38.21212121212122
74	LSMA 11	-16.805555555555543	17.194444444444457	41.80555555555556
75	LSMA 12	-16.333333333333343	17.230769230769226	44.56410256410257
76	LSMA 13	-15.469387755102048	17.79591836734693	47.34693877551021
77	LSMA 14	-12.829545454545467	18.818181818181813	52.76136363636364
78	LSMA 15	-12.226190476190482	20.36904761904762	56.3452380952381
79	LSMA 16	-12.099999999999994	19.659999999999997	60.120000000000005
80	LPM 1	-30.290322580645153	-3.8709677419354875	28.451612903225808
81	LPM 2	-32.650000000000006	-3.200000000000003	30.900000000000006
82	LPM 3	-32.8125	-2.4375	34.21875
83	LPM 4	-35.21052631578948	-1.473684210526315	35.78947368421052
84	LPM 5	-35.73684210526315	-0.2631578947368354	38.421052631578945
85	LPM 6	-37.529411764705884	0.6470588235294201	40.05882352941177
86	LPM 7	-40.400000000000006	2.3000000000000114	41.8
87	LPM 8	-40.0625	2.84375	44.625
88	LPM 10	-45.7816091954023	4.988505747126425	49.41379310344827
89	LPM 9	-41.83333333333334	4.51666666666668	47.43333333333334
90	RAHP 2	25.647058823529406	-15.117647058823536	-26.588235294117652
91	RPHP 1	22.536585365853654	-33.024390243902445	-16.902439024390247
92	RPHP 2	29.0	-34.33333333333333	-16.80000000000001
93	RPHP 3	34.727272727272734	-34.5	-16.363636363636374
94	RPHP 4	41.16666666666667	-34.888888888888886	-17.22222222222223
95	RPHP 5	48.769230769230774	-35.46153846153847	-15.30769230769232
96	RPHP 6	55.875	-36.66666666666667	-13.958333333333343
97	RPHP 7	61.30769230769231	-37.230769230769226	-13.30769230769232
98	RPHP 8	66.14285714285714	-36.42857142857143	-12.285714285714278
99	LPIT 2	-34.18518518518519	-39.66666666666667	-19.444444444444457
100	LPIT 3	-39.09090909090909	-41.95454545454545	-19.909090909090907
101	LPIT 4	-44.52631578947367	-42.578947368421055	-20.15789473684211
102	LPIT 5	-48.60714285714286	-44.96428571428571	-20.178571428571416
103	LPIT 6	-53.599999999999994	-45.96666666666667	-19.23333333333332
104	LPIT 7	-57.52777777777777	-46.72222222222223	-16.75
105	LTPO 1	-35.85714285714286	-48.841269841269835	19.111111111111114
106	LTPO 2	-39.269230769230774	-47.96153846153847	18.769230769230774
107	LTPO 3	-43.086956521739125	-48.086956521739125	18.826086956521735
108	LTPO 4	-46.25925925925927	-48.62962962962963	19.370370370370367
109	LTPO 5	-49.076923076923066	-49.19230769230769	19.84615384615384
110	LTPO 7	-54.27777777777777	-51.111111111111114	19.0
111	LTPO 8	-56.38461538461539	-52.30769230769231	18.769230769230774
112	LBRI 1	-29.043478260869563	12.739130434782595	-2.434782608695656
113	LBRI 2	-30.944444444444457	14.111111111111114	-2.7222222222222285
114	LBRI 3	-33.16666666666666	14.666666666666657	-3.0
115	LBRI 4	-36.27586206896552	14.827586206896541	-1.1379310344827616
116	LBRI 5	-40.0	15.84210526315789	0.6315789473684248
117	LBRI 6	-43.625	16.3125	1.5
118	LBRI 7	-46.80000000000001	15.199999999999989	2.5999999999999943
119	LBRI 8	-49.69999999999999	14.949999999999989	3.9749999999999943
120	RAHP 8	57.871794871794876	-11.410256410256409	-32.769230769230774
121	RAHP 7	53.0	-10.857142857142861	-32.5
122	LPHG 4	-55.125	-28.6875	-18.75
123	LPHG 5	-59.73684210526315	-30.631578947368425	-16.0
124	LPHG 6	-65.88461538461539	-31.92307692307692	-12.84615384615384
125	LPHG 7	-73.40935672514621	-32.81871345029239	-11.836257309941516
126	LTPO 6	-53.33333333333334	-50.0	19.33333333333333
